,Medal,Beer Name,Brewery,City,State,Category,Year
207,Gold,Nashville Light,Nashville Brewing Co.,Nashville,TN,Light Lager,2023
208,Silver,Mexican Lager,Lone Tree Brewing Co.,Lone Tree,CO,Light Lager,2023
209,Bronze,Legendary Lager,MadTree Brewing,Cincinnati,OH,Light Lager,2023
210,Gold,Loup et Renard Saison,Odd Breed Wild Ales,Pompano Beach,FL,Mixed-Culture Brett BeerCategory Sponsor: Wyeast Laboratories,2023
211,Silver,Never Been Wrong,Thompson Island Brewing Co.,Rehoboth Beach,DE,Mixed-Culture Brett BeerCategory Sponsor: Wyeast Laboratories,2023
212,Bronze,Silent Sounds,Monday Night Brewing – Garage,Atlanta,GA,Mixed-Culture Brett BeerCategory Sponsor: Wyeast Laboratories,2023
213,Gold,Prinz Crispy,Deschutes Brewery & Public House – Bend,Bend,OR,Munich-Style HellesCategory Sponsor: Wyeast Laboratories,2023
214,Silver,Templin Family Helles,Templin Family Brewing,Salt Lake City,UT,Munich-Style HellesCategory Sponsor: Wyeast Laboratories,2023
215,Bronze,Ein Helles,Counter Weight Brewing Co.,Cheshire,CT,Munich-Style HellesCategory Sponsor: Wyeast Laboratories,2023
216,Gold,Kiwi (The Bird),Rhinegeist Innovation Brewery,Cincinnati,OH,New Zealand India Pale Ale,2023
217,Silver,Spirit of the West,Westbound & Down Brewing Co. – Westbound Mill,Lafayette,CO,New Zealand India Pale Ale,2023
218,Bronze,Docta-Ron,Russian River Brewing Co. – Santa Rosa,Santa Rosa,CA,New Zealand India Pale Ale,2023
219,Gold,Free & Easy Belgian-Style White,Karbach Brewing Co.,Houston,TX,Non-Alcohol Beer,2023
220,Silver,Juicy NA IPA,Two Roads Brewing Co.,Stratford,CT,Non-Alcohol Beer,2023
221,Bronze,Night Strike,Leader Brewing,Palm Bay,FL,Non-Alcohol Beer,2023
222,Gold,Mountain Moonlight,Wild Fields Brewhouse,Atascadero,CA,Oatmeal Stout,2023
223,Silver,Wall of Sound,Stereo Brewing Co.,Placentia,CA,Oatmeal Stout,2023
224,Bronze,Buttons the Bear,Bear Chase Brewing Co.,Bluemont,VA,Oatmeal Stout,2023
225,Gold,Ice Raptor,Ninkasi Brewing Co.,Eugene,OR,Old Ale or Strong Ale or Barley Wine,2023
226,Silver,Populator,Diebolt Brewing Co.,Denver,CO,Old Ale or Strong Ale or Barley Wine,2023
227,Bronze,Chris Barley in a Little Coat,Wichita Brewing Co. – Production,Wichita,KS,Old Ale or Strong Ale or Barley Wine,2023
228,Gold,Jet Lag Lager,Vacancy Brewing,Austin,TX,Other Hoppy Lager,2023
229,Silver,Juicy Pilsner,Cinder Block Brewery,North Kansas City,MO,Other Hoppy Lager,2023
230,Bronze,Day Beer,Trap Door Brewing – Whistle Stop Pub,Washougal,WA,Other Hoppy Lager,2023
231,Gold,Breakside LIFE,Breakside Brewery & Taproom,Milwaukie,OR,Other Strong Beer,2023
232,Silver,Skate Juice,Hideaway Park Brewery,Winter Park,CO,Other Strong Beer,2023
233,Bronze,Random Acts of Greatness,HopSaint Brewing Co.,Torrance,CA,Other Strong Beer,2023
234,Gold,Pumpkin Ale,Blackstone Brewing Co.,Nashville,TN,Pumpkin BeerCategory Sponsor: Amoretti,2023
235,Silver,Gourd Darn-it,Third Eye Brewing Co.,Sharonville,OH,Pumpkin BeerCategory Sponsor: Amoretti,2023
236,Bronze,Pumpkinslayer,Royal Docks Brewing Co. – Brewhouse + Cannery,Massillon,OH,Pumpkin BeerCategory Sponsor: Amoretti,2023
237,Gold,Foggy London Town,Rock Bottom Brewery – Denver,Denver,CO,Robust Porter,2023
238,Silver,Robust Porter,Reuben’s Brews – Production Brewery,Seattle,WA,Robust Porter,2023
239,Bronze,Tabula Rasa,Second Chance Beer Co.,San Diego,CA,Robust Porter,2023
240,Gold,No. 68 Red Lager,The Freehouse,Minneapolis,MN,Rye Beers,2023
241,Silver,Steamy Wonder,Proper Brewing Co.,Salt Lake City,UT,Rye Beers,2023
242,Bronze,Rye Dawn,Breakwater Brewing Co.,Oceanside,CA,Rye Beers,2023
243,Gold,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Scotch Ale,2023
244,Silver,Scottish Wildcat,Wild Blue Yonder Brewing Co.,Castle Rock,CO,Scotch Ale,2023
245,Bronze,Old Chub Scotch Ale,Oskar Blues Brewery & Tasty Weasel Taproom,Longmont,CO,Scotch Ale,2023
246,Gold,William Walrus,Metazoa Brewing Co.,Indianapolis,IN,Scottish-Style Ale,2023
247,Silver,Laughing Lab Scottish Ale,Bristol Brewing Co,Colorado Springs,CO,Scottish-Style Ale,2023
248,Bronze,Glenlongbeach,Beachwood Brewing – Huntington Beach,Huntington Beach,CA,Scottish-Style Ale,2023
249,Gold,Oblique & Bent,The Big Friendly,Oklahoma City,OK,Session Beer or Belgian-Style Table Beer,2023
250,Silver,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer or Belgian-Style Table Beer,2023
251,Bronze,Tip the Calf,SingleSpeed Brewing Tap Room,Cedar Falls,IA,Session Beer or Belgian-Style Table Beer,2023
